Index,x,y,size,angle,response
405,110.702,466.677,2.00109,334.457,0.00174954
406,110.88,140.033,2.34037,51.9651,0.0022391
407,110.88,140.033,2.34037,233.945,0.0022391
408,110.88,140.033,2.34037,273.19,0.0022391
409,110.962,432.112,1.99434,297.159,0.00202282
410,111.323,312.148,2.20383,15.3688,0.00147662
411,111.323,312.148,2.20383,218.669,0.00147662
412,111.323,312.148,2.20383,257.059,0.00147662
413,111.332,216.132,2.14479,199.417,0.00214403
414,111.487,413.084,3.27072,37.653,0.0147124
415,111.949,279.37,1.96713,126.239,0.0014384
416,112.033,158.531,2.67154,92.8021,0.00118414
417,112.34,125.289,7.82386,253.42,0.00378484
418,112.361,240.244,2.05797,91.8507,0.00119617
419,112.361,240.244,2.05797,190.622,0.00119617
420,112.534,226.896,2.53261,179.379,0.00323196
421,112.543,472.722,2.56959,7.01416,0.00223632
422,113.122,179.479,3.58311,186.372,0.00218697
423,113.144,464.608,2.98212,6.27945,0.0019997
424,113.28,465.122,2.57341,7.16278,0.00200321
425,113.345,336.082,1.90869,212.58,0.00616277
426,113.349,154.296,2.47471,90.193,0.00211449
427,113.745,272.961,2.00184,118.888,0.00157978
428,113.745,272.961,2.00184,342.191,0.00157978
429,113.813,117.129,1.8877,173.217,0.00314728
430,113.904,75.1956,1.87452,82.6485,0.000942872
431,113.92,100.119,3.43025,70.3654,0.00182609
432,113.92,100.119,3.43025,102.547,0.00182609
433,114.085,80.9738,2.38217,84.2823,0.00231793
434,114.16,216.942,2.74677,198.441,0.0032441
435,114.325,111.658,2.09605,202.954,0.002113
436,114.378,189.509,3.01449,171.532,0.00303568
437,114.534,457.149,3.2078,6.06491,0.00156331
438,114.567,128.042,2.17462,260.419,0.00218032
439,114.814,343.945,2.49961,30.1651,0.0100616
440,115.309,306.081,2.21666,280.651,0.000696703
441,115.331,372.109,2.64499,299.224,0.000937209
442,115.639,355.62,3.72889,57.5064,0.00154394
443,115.924,141.641,1.94113,32.4426,0.00279991
444,115.928,302.194,2.40287,213.774,0.000726141
445,115.928,302.194,2.40287,314.882,0.000726141
446,116.004,223.279,1.97663,74.6017,0.00143078
447,116.209,474.844,3.5074,4.82079,0.00174288
448,116.462,169.851,2.88033,187.54,0.00371898
449,116.483,201.296,2.7514,182.093,0.00250301
450,116.558,131.169,2.49425,260.802,0.00241798
451,116.688,64.8622,4.87719,81.8694,0.00373903
452,116.75,229.165,3.31948,161.997,0.00345379
453,116.999,154.566,1.97013,20.4866,0.0016075
454,116.999,154.566,1.97013,209.523,0.0016075
